Velocity,Mass,Thrust,Drag
180.543,17.903,2565.652,118.439
181.81,17.89,2564.188,120.216
183.076,17.877,2562.723,122
184.342,17.864,2561.259,123.792
185.607,17.85,2559.795,125.59
186.871,17.837,2558.33,127.408
188.134,17.824,2556.866,129.233
189.397,17.811,2555.402,131.066
190.658,17.798,2553.937,132.907
191.918,17.784,2552.473,134.757
193.178,17.771,2551.009,136.621
194.436,17.758,2549.544,138.497
195.693,17.745,2548.08,140.386
196.949,17.732,2546.616,142.29
198.204,17.718,2545.151,144.211
199.457,17.705,2543.687,146.131
200.709,17.692,2542.223,148.075
201.96,17.679,2540.758,150.046
203.209,17.666,2539.286,152.045
204.456,17.653,2537.15,154.071
205.701,17.64,2534.598,156.119
206.944,17.627,2532.046,158.197
208.184,17.614,2529.493,160.302
209.422,17.601,2526.941,162.434
210.657,17.588,2524.389,164.587
211.891,17.576,2521.837,166.755
213.122,17.563,2519.285,168.936
214.351,17.55,2516.733,171.127
215.577,17.537,2514.18,173.327
216.802,17.524,2511.628,175.533
218.025,17.511,2509.076,177.747
219.246,17.498,2506.524,179.967
220.465,17.485,2503.972,182.191
221.682,17.473,2501.42,184.419
222.898,17.46,2498.867,186.652
224.112,17.447,2496.315,188.888
225.325,17.434,2493.763,191.138
226.537,17.421,2491.211,193.404
227.748,17.408,2488.659,195.691
228.957,17.395,2486.107,198.001
230.165,17.383,2483.555,200.331
231.372,17.37,2481.002,202.684
232.578,17.357,2478.45,205.064
233.782,17.344,2475.898,207.47
234.985,17.331,2473.346,209.904
236.187,17.318,2470.794,212.362
237.387,17.305,2468.242,214.846
238.586,17.292,2465.689,217.354
239.784,17.28,2463.137,219.885
240.979,17.267,2460.585,222.436
242.174,17.254,2458.033,225.02
243.366,17.241,2455.481,227.621
244.557,17.228,2452.929,230.238
245.746,17.215,2450.371,232.866
246.933,17.203,2447.77,235.506
248.119,17.19,2445.159,238.157
249.302,17.178,2442.548,240.818
250.482,17.165,2439.937,243.49
251.661,17.153,2437.326,246.174
252.837,17.14,2434.715,248.871
254.011,17.128,2432.105,251.57
255.182,17.115,2429.494,254.291
256.35,17.103,2426.883,257.039
257.516,17.09,2424.272,259.816
258.679,17.078,2421.661,262.626
259.839,17.065,2419.05,265.484
260.997,17.053,2416.439,268.374
262.151,17.04,2413.828,271.298
263.302,17.028,2411.217,274.255
264.451,17.015,2408.606,277.244
265.597,17.003,2405.996,280.255
266.739,16.99,2403.385,283.296
267.879,16.978,2400.774,286.364
269.016,16.965,2398.163,289.456
270.15,16.953,2395.521,292.569
271.28,16.941,2392.045,295.704
272.408,16.929,2388.198,298.856
273.532,16.917,2384.352,302.026
274.653,16.905,2380.505,305.218
275.771,16.892,2376.658,308.434
276.887,16.88,2372.811,311.675
277.999,16.868,2368.965,314.948
279.109,16.856,2365.118,318.256
280.215,16.844,2361.271,321.603
281.32,16.832,2357.424,324.995
282.421,16.82,2353.578,328.448
283.519,16.808,2349.731,331.953
284.615,16.796,2345.884,335.51
285.708,16.784,2342.037,339.118
286.798,16.771,2338.191,342.774
287.884,16.759,2334.344,346.427
288.968,16.747,2330.497,350.121
290.047,16.735,2326.65,353.856
291.124,16.723,2322.803,357.633
292.196,16.711,2318.957,361.454
293.265,16.699,2315.11,365.347
294.33,16.687,2311.263,369.291
295.39,16.675,2307.416,373.289
296.447,16.663,2303.57,377.349
297.499,16.65,2299.723,381.474
298.547,16.639,2295.893,385.662
299.591,16.627,2292.292,389.93
300.63,16.615,2288.764,394.285
301.665,16.604,2285.235,398.73
302.695,16.592,2281.707,403.277
303.72,16.58,2278.179,407.242
304.743,16.569,2274.65,409.404
305.762,16.557,2271.122,411.561
306.778,16.546,2267.594,413.713
307.791,16.534,2264.066,415.856
308.802,16.522,2260.537,417.985
309.81,16.511,2257.009,420.105
310.815,16.499,2253.481,422.216
311.818,16.488,2249.952,424.317
312.818,16.476,2246.424,426.411
313.816,16.464,2242.896,428.508
314.812,16.453,2239.367,430.604
315.806,16.441,2235.839,432.703
316.797,16.429,2232.311,434.804
317.787,16.418,2228.782,436.908
318.774,16.406,2225.254,439.002
319.76,16.395,2221.726,441.094
320.743,16.383,2218.197,443.183
321.723,16.371,2214.669,445.266
322.701,16.36,2211.141,447.342
323.677,16.348,2207.61,449.388
324.65,16.337,2204.032,451.425
325.62,16.326,2200.432,453.456
326.587,16.314,2196.832,455.48
327.551,16.303,2193.232,457.501
328.512,16.292,2189.632,459.525
329.47,16.281,2186.032,461.547
330.425,16.269,2182.432,463.566
331.377,16.258,2178.832,465.583
332.325,16.247,2175.232,467.598
333.271,16.236,2171.632,469.603
334.213,16.224,2168.032,471.605
335.153,16.213,2164.432,473.6
336.089,16.202,2159.277,475.586
337.019,16.191,2152.052,479.159
337.942,16.18,2144.816,485.998
338.858,16.169,2137.581,492.828
339.766,16.158,2130.345,499.648
340.666,16.147,2123.11,506.459
341.559,16.136,2115.875,513.262
342.444,16.125,2108.639,520.068
343.322,16.114,2101.404,526.865
344.192,16.103,2094.168,532.315
345.055,16.093,2086.292,537.74
345.91,16.082,2076.712,543.142
346.756,16.072,2067.039,548.506
347.594,16.061,2057.366,553.841
348.423,16.051,2047.693,559.147
349.244,16.04,2038.02,564.422
350.055,16.03,2028.347,569.512
350.858,16.019,2018.674,573.568
351.653,16.008,2009.001,577.603
352.439,15.998,1999.328,581.618
353.216,15.988,1988.201,585.608
353.976,15.978,1965.084,589.531
354.718,15.968,1939.304,593.373
355.441,15.958,1913.524,597.134
356.147,15.949,1887.745,600.812
356.834,15.939,1861.965,604.048
357.503,15.929,1836.185,606.684
358.156,15.919,1810.362,609.289
358.789,15.911,1781.17,611.819
359.402,15.902,1749.86,614.269
359.995,15.893,1718.551,616.642
360.568,15.884,1687.241,618.936
361.12,15.876,1655.932,621.119
361.652,15.867,1624.623,623.219
362.164,15.859,1594.931,625.238
362.663,15.851,1574.038,627.199
363.149,15.844,1554.47,628.987
363.621,15.836,1534.902,630.275
364.081,15.829,1515.333,631.521
364.527,15.821,1495.765,632.726
364.961,15.813,1476.196,633.89
365.381,15.806,1456.628,635.014
365.789,15.798,1437.06,636.092
366.183,15.791,1417.491,637.131
366.564,15.783,1397.923,638.131
366.932,15.776,1378.354,639.091
367.287,15.768,1358.786,640.009
367.629,15.761,1339.065,640.879
367.957,15.755,1317.272,641.701
368.27,15.749,1294.822,642.474
368.569,15.743,1272.372,643.196
368.854,15.737,1249.922,643.87
369.124,15.731,1227.472,644.485
369.38,15.725,1205.023,645.053
369.622,15.719,1182.573,645.501
369.85,15.712,1160.123,645.806
370.063,15.706,1137.673,646.076
370.263,15.7,1115.223,646.335
370.449,15.694,1092.773,646.562
370.621,15.688,1070.323,646.753
370.779,15.682,1047.874,646.908
370.924,15.676,1025.424,647.024
371.054,15.672,1003.192,647.095
371.17,15.667,981.158,647.126
371.272,15.663,959.124,647.119
371.36,15.658,937.09,647.075
371.433,15.654,915.056,646.996
371.492,15.649,893.022,646.881
371.537,15.645,870.988,646.736
371.568,15.641,848.954,646.559
371.584,15.636,826.92,646.351
371.586,15.632,804.886,646.109
371.574,15.627,782.852,645.832
371.548,15.623,760.818,645.518
371.508,15.618,738.784,645.165
371.454,15.614,716.845,644.775
371.391,15.611,702.351,644.359
371.323,15.607,692.534,643.929
371.249,15.604,682.716,643.485
371.169,15.601,672.898,643.029
371.084,15.597,663.081,642.561
370.993,15.594,653.263,642.082
370.897,15.59,643.446,641.604
370.795,15.587,633.628,641.114
370.687,15.584,623.811,640.61
370.574,15.58,613.993,640.09
370.455,15.577,604.118,639.551
370.329,15.574,592.712,638.987
370.196,15.572,580.624,638.401
370.055,15.569,568.536,637.794
369.906,15.566,556.448,637.17
369.75,15.563,544.36,636.528
369.585,15.561,532.272,635.848
369.413,15.558,520.184,635.16
369.233,15.555,508.096,634.462
369.045,15.552,496.008,633.749
368.85,15.55,483.92,633.008
368.647,15.547,471.832,632.157
368.437,15.545,460.798,631.283
368.225,15.542,453.728,630.396
368.008,15.54,447.037,629.501
367.789,15.538,440.346,628.597
367.566,15.536,433.656,627.647
367.34,15.534,426.965,626.686
367.11,15.532,420.274,625.716
366.876,15.53,413.583,624.736
366.639,15.528,406.893,623.745
366.399,15.526,400.202,622.753
366.155,15.524,393.511,621.76
365.907,15.522,386.82,620.76
365.656,15.52,380.129,619.747
365.401,15.518,373.439,618.724
365.142,15.516,366.748,617.703
364.88,15.514,360.057,616.671
364.614,15.511,353.366,615.628
364.344,15.509,346.676,614.575
364.07,15.508,339.553,613.511
363.79,15.506,328.87,612.43
363.503,15.505,317.397,611.33
363.209,15.503,305.924,610.211
362.908,15.502,294.451,609.074
362.601,15.501,282.978,607.918
362.286,15.499,271.504,606.737
361.965,15.498,260.031,605.536
361.638,15.496,248.558,604.317
361.303,15.495,237.085,602.753
360.963,15.494,225.612,601.149
360.616,15.492,214.138,599.494
360.262,15.491,202.413,597.816
359.901,15.49,189.318,596.109
359.533,15.49,176.017,594.375
359.157,15.489,162.716,592.614
358.775,15.488,149.414,590.865
358.385,15.487,136.113,589.094
357.988,15.487,122.812,587.298
357.584,15.486,109.511,585.479
357.173,15.485,96.209,583.635
356.756,15.485,84.81,581.76
356.334,15.485,75.941,579.869
355.908,15.484,67.085,577.962
355.478,15.484,58.229,576.04
355.043,15.484,49.373,574.103
354.603,15.484,40.517,572.122
354.159,15.484,31.661,569.647
353.711,15.483,22.804,567.16
353.258,15.483,13.948,564.661
352.801,15.483,5.092,562.151
352.755,15.483,0.249,561.898
352.686,15.483,0,561.519
352.582,15.483,0,560.95
352.428,15.483,0,560.1
352.196,15.483,0,558.828
351.848,15.483,0,556.929
351.392,15.483,0,554.443
350.937,15.483,0,551.972
350.483,15.483,0,549.518
350.031,15.483,0,547.089
349.581,15.483,0,544.674
349.133,15.483,0,542.273
348.686,15.483,0,539.888
348.241,15.483,0,537.519
347.798,15.483,0,535.156
347.356,15.483,0,532.407
346.917,15.483,0,529.524
346.48,15.483,0,526.665
346.044,15.483,0,523.826
345.611,15.483,0,520.994
345.18,15.483,0,518.183
344.75,15.483,0,515.393
344.322,15.483,0,512.624
343.896,15.483,0,509.873
343.472,15.483,0,507.136
343.049,15.483,0,504.42
342.628,15.483,0,501.725
342.208,15.483,0,499.051
341.79,15.483,0,496.402
341.374,15.483,0,493.807
340.959,15.483,0,491.232
340.546,15.483,0,488.366
340.134,15.483,0,485.275
339.725,15.483,0,482.205
339.318,15.483,0,479.112
338.912,15.483,0,476.045
338.508,15.483,0,473.005
338.107,15.483,0,469.99
337.707,15.483,0,467.008
337.309,15.483,0,464.122
336.913,15.483,0,461.262
336.519,15.483,0,458.427
336.128,15.483,0,455.617
335.738,15.483,0,452.83
335.35,15.483,0,450.056
334.965,15.483,0,447.305
334.581,15.483,0,444.575
334.199,15.483,0,441.866
333.818,15.483,0,439.182
333.439,15.483,0,438.135
333.061,15.483,0,437.193
332.683,15.483,0,436.254
332.305,15.483,0,435.316
331.928,15.483,0,434.375
331.552,15.483,0,433.385
331.175,15.483,0,432.408
330.798,15.483,0,431.442
330.421,15.483,0,430.483
330.044,15.483,0,429.529
329.668,15.483,0,428.589
329.292,15.483,0,427.645
328.918,15.483,0,426.7
328.544,15.483,0,425.756
328.171,15.483,0,424.815
327.799,15.483,0,423.883
327.429,15.483,0,422.959
327.059,15.483,0,422.044
326.691,15.483,0,421.137
326.323,15.483,0,420.235
325.956,15.483,0,419.326
325.591,15.483,0,418.417
325.226,15.483,0,417.507
324.861,15.483,0,416.597
324.497,15.483,0,415.685
324.134,15.483,0,414.775
323.771,15.483,0,413.865
323.409,15.483,0,412.956
323.046,15.483,0,412.049
